"the_date","weekday","month_label","number_of_visits","number_of_visits.real","week_in_month"
2023-12-05,"Tue","December 2023",68,68,2
2023-12-06,"Wed","December 2023",463,463,2
2023-12-07,"Thu","December 2023",0,NA,2
2023-12-08,"Fri","December 2023",0,NA,2
2023-12-09,"Sat","December 2023",0,NA,2
2023-12-10,"Sun","December 2023",0,NA,3
2023-12-11,"Mon","December 2023",267,267,3
2023-12-12,"Tue","December 2023",93,93,3
2023-12-13,"Wed","December 2023",54,54,3
2023-12-14,"Thu","December 2023",0,NA,3
2023-12-15,"Fri","December 2023",0,NA,3
2023-12-16,"Sat","December 2023",0,NA,3
2023-12-17,"Sun","December 2023",0,NA,4
2023-12-18,"Mon","December 2023",0,NA,4
2023-12-19,"Tue","December 2023",0,NA,4
2023-12-20,"Wed","December 2023",0,NA,4
2023-12-21,"Thu","December 2023",0,NA,4
2023-12-22,"Fri","December 2023",0,NA,4
2023-12-23,"Sat","December 2023",0,NA,4
2023-12-24,"Sun","December 2023",0,NA,5
2023-12-25,"Mon","December 2023",0,NA,5
2023-12-26,"Tue","December 2023",0,NA,5
2023-12-27,"Wed","December 2023",0,NA,5
2023-12-28,"Thu","December 2023",0,NA,5
2023-12-29,"Fri","December 2023",0,NA,5
2023-12-30,"Sat","December 2023",0,NA,5
2023-12-31,"Sun","December 2023",0,NA,6
2024-01-01,"Mon","January 2024",0,NA,1
2024-01-02,"Tue","January 2024",0,NA,1
2024-01-03,"Wed","January 2024",0,NA,1
2024-01-04,"Thu","January 2024",0,NA,1
2024-01-05,"Fri","January 2024",0,NA,1
2024-01-06,"Sat","January 2024",0,NA,1
2024-01-07,"Sun","January 2024",0,NA,2
2024-01-08,"Mon","January 2024",0,NA,2
2024-01-09,"Tue","January 2024",0,NA,2
2024-01-10,"Wed","January 2024",0,NA,2
2024-01-11,"Thu","January 2024",0,NA,2
2024-01-12,"Fri","January 2024",0,NA,2
2024-01-13,"Sat","January 2024",0,NA,2
2024-01-14,"Sun","January 2024",0,NA,3
2024-01-15,"Mon","January 2024",0,NA,3
2024-01-16,"Tue","January 2024",0,NA,3
2024-01-17,"Wed","January 2024",369,369,3
2024-01-18,"Thu","January 2024",0,NA,3
2024-01-19,"Fri","January 2024",0,NA,3
2024-01-20,"Sat","January 2024",0,NA,3
2024-01-21,"Sun","January 2024",0,NA,4
2024-01-22,"Mon","January 2024",0,NA,4
2024-01-23,"Tue","January 2024",65,65,4
2024-01-24,"Wed","January 2024",1364,1364,4
2024-01-25,"Thu","January 2024",0,NA,4
2024-01-26,"Fri","January 2024",0,NA,4
2024-01-27,"Sat","January 2024",0,NA,4
2024-01-28,"Sun","January 2024",0,NA,5
2024-01-29,"Mon","January 2024",2,2,5
2024-01-30,"Tue","January 2024",0,NA,5
2024-01-31,"Wed","January 2024",3,3,5
2024-02-01,"Thu","February 2024",0,NA,1
2024-02-02,"Fri","February 2024",0,NA,1
2024-02-03,"Sat","February 2024",0,NA,1
2024-02-04,"Sun","February 2024",0,NA,2
2024-02-05,"Mon","February 2024",1,1,2
2024-02-06,"Tue","February 2024",1,1,2
2024-02-07,"Wed","February 2024",1,1,2
2024-02-08,"Thu","February 2024",0,NA,2
2024-02-09,"Fri","February 2024",0,NA,2
2024-02-10,"Sat","February 2024",0,NA,2
2024-02-11,"Sun","February 2024",0,NA,3
2024-02-12,"Mon","February 2024",229,229,3
2024-02-13,"Tue","February 2024",0,NA,3
2024-02-14,"Wed","February 2024",3,3,3
2024-02-15,"Thu","February 2024",0,NA,3
2024-02-16,"Fri","February 2024",0,NA,3
2024-02-17,"Sat","February 2024",0,NA,3
2024-02-18,"Sun","February 2024",0,NA,4
2024-02-19,"Mon","February 2024",1,1,4
2024-02-20,"Tue","February 2024",0,NA,4
2024-02-21,"Wed","February 2024",145,145,4
2024-02-22,"Thu","February 2024",0,NA,4
2024-02-23,"Fri","February 2024",0,NA,4
2024-02-24,"Sat","February 2024",0,NA,4
2024-02-25,"Sun","February 2024",0,NA,5
2024-02-26,"Mon","February 2024",570,570,5
2024-02-27,"Tue","February 2024",1,1,5
2024-02-28,"Wed","February 2024",4,4,5
2024-02-29,"Thu","February 2024",0,NA,5
2024-03-01,"Fri","March 2024",0,NA,1
2024-03-02,"Sat","March 2024",0,NA,1
2024-03-03,"Sun","March 2024",0,NA,2
2024-03-04,"Mon","March 2024",0,NA,2
2024-03-05,"Tue","March 2024",0,NA,2
2024-03-06,"Wed","March 2024",0,NA,2
2024-03-07,"Thu","March 2024",0,NA,2
2024-03-08,"Fri","March 2024",0,NA,2
2024-03-09,"Sat","March 2024",0,NA,2
2024-03-10,"Sun","March 2024",0,NA,3
2024-03-11,"Mon","March 2024",1,1,3
2024-03-12,"Tue","March 2024",0,NA,3
2024-03-13,"Wed","March 2024",2,2,3
2024-03-14,"Thu","March 2024",0,NA,3
2024-03-15,"Fri","March 2024",0,NA,3
2024-03-16,"Sat","March 2024",0,NA,3
2024-03-17,"Sun","March 2024",0,NA,4
2024-03-18,"Mon","March 2024",0,NA,4
2024-03-19,"Tue","March 2024",0,NA,4
2024-03-20,"Wed","March 2024",2,2,4
2024-03-21,"Thu","March 2024",0,NA,4
2024-03-22,"Fri","March 2024",0,NA,4
2024-03-23,"Sat","March 2024",0,NA,4
2024-03-24,"Sun","March 2024",0,NA,5
2024-03-25,"Mon","March 2024",0,NA,5
2024-03-26,"Tue","March 2024",0,NA,5
2024-03-27,"Wed","March 2024",0,NA,5
2024-03-28,"Thu","March 2024",0,NA,5
2024-03-29,"Fri","March 2024",0,NA,5
2024-03-30,"Sat","March 2024",0,NA,5
2024-03-31,"Sun","March 2024",0,NA,6
2024-04-01,"Mon","April 2024",1,1,1
2024-04-02,"Tue","April 2024",1,1,1
2024-04-03,"Wed","April 2024",2,2,1
2024-04-04,"Thu","April 2024",0,NA,1
2024-04-05,"Fri","April 2024",0,NA,1
2024-04-06,"Sat","April 2024",0,NA,1
2024-04-07,"Sun","April 2024",0,NA,2
2024-04-08,"Mon","April 2024",0,NA,2
2024-04-09,"Tue","April 2024",0,NA,2
2024-04-10,"Wed","April 2024",438,438,2
2024-04-11,"Thu","April 2024",0,NA,2
2024-04-12,"Fri","April 2024",0,NA,2
2024-04-13,"Sat","April 2024",0,NA,2
2024-04-14,"Sun","April 2024",0,NA,3
2024-04-15,"Mon","April 2024",1,1,3
2024-04-16,"Tue","April 2024",2,2,3
2024-04-17,"Wed","April 2024",2,2,3
2024-04-18,"Thu","April 2024",0,NA,3
2024-04-19,"Fri","April 2024",0,NA,3
2024-04-20,"Sat","April 2024",0,NA,3
2024-04-21,"Sun","April 2024",0,NA,4
2024-04-22,"Mon","April 2024",2,2,4
2024-04-23,"Tue","April 2024",0,NA,4
2024-04-24,"Wed","April 2024",2,2,4
2024-04-25,"Thu","April 2024",0,NA,4
2024-04-26,"Fri","April 2024",0,NA,4
2024-04-27,"Sat","April 2024",0,NA,4
2024-04-28,"Sun","April 2024",0,NA,5
2024-04-29,"Mon","April 2024",1,1,5
